,laseron,near food
874,6799,True
875,6800,True
876,6801,True
877,6802,True
878,6803,True
879,6804,True
880,6805,True
881,6806,True
882,6807,True
883,6808,True
884,6809,True
885,6810,True
886,6811,True
887,6812,True
888,6813,True
889,6814,True
890,6815,True
891,6816,True
892,6817,True
893,6818,True
894,6819,True
895,6820,True
896,6821,True
897,6822,True
898,6823,True
899,6824,True
900,6825,True
901,6826,True
902,6827,True
903,6828,True
904,6829,True
905,6830,True
906,6831,True
907,6832,True
908,6833,True
909,6834,True
910,6835,True
911,6836,True
912,6837,True
913,6838,True
914,6839,True
915,6840,True
916,6841,True
917,6842,True
918,6843,True
919,6844,True
920,6845,True
921,6846,True
922,6847,True
923,6848,True
924,6849,True
925,6850,True
926,6851,True
927,6852,True
928,6853,True
929,6854,True
930,6855,True
931,6856,True
932,6857,True
933,6858,True
934,6859,True
935,6860,True
936,6861,True
937,6862,True
938,6863,True
939,6864,True
940,6865,True
941,6866,True
942,6867,True
943,6868,True
944,6869,True
945,6870,True
946,6871,True
947,6872,True
948,8134,True
949,8135,True
950,8136,True
951,8137,False
952,8138,False
953,8139,False
954,8140,False
955,8141,False
956,8142,False
957,8143,False
958,8144,True
959,8145,True
960,8146,True
961,8147,True
962,8148,True
963,8149,True
964,8150,True
965,8151,True
966,8152,True
967,8153,True
968,8154,True
969,8155,True
970,8156,True
971,8157,True
972,8158,True
973,8159,True
974,8160,True
975,8161,True
976,8162,True
977,8163,True
978,8164,True
979,8165,True
980,8166,True
981,8167,True
982,8168,True
983,8169,True
984,8170,True
985,8171,True
986,8172,True
987,8173,True
988,8174,True
989,8175,True
990,8176,True
991,8177,True
992,8178,True
993,8179,True
994,8180,True
995,8181,True
996,8182,True
997,8183,True
998,8184,True
999,8185,True
1000,8186,True
1001,8187,True
1002,8188,True
1003,8189,True
1004,8190,True
1005,8191,True
1006,8192,True
1007,8193,True
1008,8194,True
1009,8195,True
1010,8196,True
1011,8197,True
1012,8198,True
1013,8199,True
1014,8200,True
1015,8201,True
1016,8202,True
1017,8203,True
1018,8204,True
1019,8205,True
1020,8206,True
1021,8207,True
1022,8208,True
1023,8209,False
1024,8210,False
1025,8211,True
1026,8212,True
1027,8213,True
1028,8214,True
1029,8215,True
1030,8216,True
1031,8217,True
1032,8218,True
1033,8219,True
1034,8220,True
1035,8221,True
1036,8222,True
1037,8223,True
1038,8224,True
1039,8225,True
1040,8226,True
1041,8227,True
1042,8228,True
1043,8229,True
1044,8230,True
1045,8231,True
1046,8232,True
1047,8233,True
1048,8234,True
1049,8235,True
1050,8236,True
1051,8237,True
1052,8238,True
1053,8239,True
1054,8240,True
1055,8241,True
1056,8242,True
1057,8243,True
1058,8244,True
1059,8245,True
1060,8246,True
1061,8247,True
1062,8248,True
1063,8249,True
1064,8250,True
1065,8251,True
1066,8252,False
1067,8253,False
1068,8254,False
1069,8255,False
1070,8256,False
1071,8257,False
1072,8258,False
1073,8259,False
1074,8260,False
1075,8261,False
1076,8262,False
1077,8263,False
1078,8264,False
1079,8265,False
1080,8266,False
1081,8267,False
1082,8268,False
1083,8269,False
1084,8270,False
1085,8271,False
1086,8272,False
1087,8273,False
1088,8274,False
1089,8275,False
1090,8276,False
1091,8277,False
1092,8278,False
1093,8279,False
1094,8280,False
1095,8281,False
1096,8282,False
1097,8283,False
1098,8284,False
1099,8285,False
1100,8286,False
1101,8287,False
1102,8288,False
1103,8289,False
1104,8290,False
1105,8291,False
1106,8292,False
1107,8293,False
1108,8294,False
1109,8295,False
1110,8296,False
1111,8297,False
1112,8298,False
1113,8299,False
1114,8300,False
1115,8301,False
1116,8302,False
1117,8303,False
1118,8304,False
1119,8305,False
1120,8306,False
1121,8307,False
1122,8308,False
1123,8309,False
1124,8310,False
1125,8311,False
1126,8312,False
1127,8313,False
1128,8314,False
1129,8315,False
1130,8316,False
1131,8317,False
1132,8318,False
1133,8319,False
1134,8320,False
1135,8321,False
1136,8322,False
1137,8323,False
1138,8324,False
1139,8325,False
1140,8326,False
1141,8327,False
1142,8328,False
1143,8329,False
1144,8330,False
1145,8331,False
1146,8332,False
1147,8333,False
1148,8334,False
1149,8335,False
1150,8336,False
1151,8337,True
1152,8338,True
1153,8339,True
1154,8340,True
1155,8341,True
1156,8342,True
1157,8343,True
1158,8344,True
1159,8345,True
1160,8346,True
1161,8347,True
1162,8348,True
1163,8349,True
1164,8350,True
1165,8351,True
1166,8352,True
1167,8353,True
1168,8354,True
1169,8355,True
1170,8356,True
1171,8357,True
1172,8358,True
1173,8359,True
1174,8360,True
1175,8361,True
1176,8362,True
1177,8363,True
1178,8364,True
1179,8365,True
1180,8366,True
1181,8367,True
1182,8368,True
1183,8369,True
1184,8370,True
1185,10479,False
1186,10480,False
1187,10481,False
1188,10482,False
1189,10483,False
1190,10484,True
1191,10485,True
1192,10486,True
1193,10487,True
1194,10488,True
1195,10489,True
1196,10490,True
1197,10491,True
1198,10492,True
1199,10493,True
1200,10494,True
1201,10495,True
1202,10496,True
1203,10497,True
1204,10498,True
1205,10499,True
1206,10500,True
1207,10501,True
1208,10502,True
1209,10503,True
1210,10504,True
1211,10505,True
1212,10506,True
1213,10507,True
1214,10508,True
1215,10509,True
1216,10510,True
1217,10511,True
1218,10512,True
1219,10513,True
1220,10514,True
1221,10515,True
1222,10516,True
1223,10517,True
1224,10518,True
1225,10519,True
1226,10520,True
1227,10521,True
1228,10522,True
1229,10523,True
1230,10524,True
1231,10525,True
1232,10526,True
1233,10527,True
1234,10528,True
1235,10529,True
1236,10530,True
1237,10531,True
1238,10532,True
1239,10533,True
1240,10534,True
1241,10535,True
1242,10536,True
1243,10537,True
1244,10538,True
1245,10539,True
1246,10540,True
1247,10541,True
1248,10542,True
1249,10543,True
1250,10544,True
1251,10545,True
1252,10546,True
1253,10547,True
1254,10548,True
1255,10549,True
1256,10550,True
1257,10551,True
1258,10552,True
1259,10553,True
1260,10554,True
1261,10555,True
1262,10556,True
1263,10557,True
1264,10558,True
1265,10559,True
1266,10560,True
1267,10561,True
1268,10562,True
1269,10563,True
1270,10564,True
1271,10565,True
1272,10566,True
1273,10567,True
1274,10568,True
1275,10569,True
1276,10570,True
1277,10571,True
1278,10572,True
1279,10573,True
1280,10574,True
1281,10575,True
1282,10576,True
1283,10577,True
1284,10578,True
1285,10579,True
1286,10580,True
1287,10581,True
1288,10582,True
1289,10583,True
1290,10584,True
1291,10585,True
1292,10586,True
1293,10587,True
1294,10588,True
1295,10589,True
1296,10590,True
1297,10591,True
1298,10592,True
1299,10593,True
1300,10594,True
1301,10595,True
1302,10596,True
1303,10597,False
1304,10598,False
1305,10599,False
1306,10600,False
1307,10601,False
1308,10602,False
1309,10603,False
1310,10604,False
1311,10605,False
1312,10606,False
1313,10607,False
1314,10608,False
1315,10609,False
1316,10610,False
1317,10611,False
1318,10612,False
1319,10613,False
1320,10614,False
1321,10615,False
1322,10616,False
1323,10617,False
1324,10618,False
1325,10619,False
1326,10620,False
1327,10621,False
1328,10622,False
1329,10623,False
1330,10624,False
1331,10625,False
1332,10626,False
1333,10627,False
1334,10628,False
1335,10629,False
1336,10630,False
1337,10631,False
1338,10632,False
1339,10633,False
1340,10634,False
1341,10635,False
1342,10636,False
1343,10637,False
1344,10638,False
1345,10639,True
1346,10640,True
1347,10641,True
1348,10642,True
1349,10643,True
1350,10644,True
1351,10645,True
1352,10646,True
1353,10647,True
1354,10648,True
1355,10649,True
1356,10650,True
1357,10651,False
1358,10652,False
1359,10653,False
1360,10654,False
1361,10655,False
1362,10656,False
1363,10657,False
1364,10658,False
1365,10659,False
1366,10660,False
1367,10661,False
1368,10662,False
1369,10663,False
1370,10664,False
1371,10665,False
1372,10666,False
1373,10667,False
1374,10668,False
1375,10669,False
1376,10670,False
1377,10671,False
1378,10672,False
1379,10673,False
1380,10674,False
1381,10675,False
1382,10676,False
1383,10677,False
1384,10678,False
1385,10679,False
1386,10680,False
1387,10681,False
1388,10682,False
1389,10683,False
1390,10684,False
1391,10685,False
1392,10686,False
1393,10687,False
1394,10688,False
1395,10689,False
1396,10690,False
1397,10691,False
1398,10692,False
1399,10693,False
1400,10694,False
1401,10695,False
1402,10696,False
1403,10697,False
1404,10698,False
1405,10699,False
1406,10700,False
1407,10701,False
1408,10702,False
1409,10703,False
1410,10704,False
1411,10705,False
1412,10706,False
1413,10707,False
1414,10708,True
1415,10709,True
1416,10710,True
1417,10711,True
1418,10712,True
1419,10713,True
1420,10714,True
1421,10715,True
1422,13094,False
1423,13095,False
1424,13096,False
1425,13097,False
1426,13098,False
1427,13099,False
1428,13100,False
1429,13101,False
1430,13102,False
1431,13103,False
1432,13104,False
1433,13105,False
1434,13106,False
1435,13107,False
1436,13108,False
1437,13109,False
1438,13110,True
1439,13111,True
1440,13112,True
1441,13113,True
1442,13114,True
1443,13115,True
1444,13116,True
1445,13117,True
1446,13118,True
1447,13119,True
1448,13120,True
1449,13121,True
1450,13122,True
1451,13123,True
1452,13124,True
1453,13125,True
1454,13126,True
1455,13127,True
1456,13128,True
1457,13129,True
1458,13130,True
1459,13131,True
1460,13132,True
1461,13133,True
1462,13134,True
1463,13135,True
1464,13136,True
1465,13137,True
1466,13138,True
1467,13139,True
1468,13140,True
1469,13141,True
1470,13142,True
1471,13143,True
1472,13144,True
1473,13145,True
1474,13146,True
1475,13147,True
1476,13148,True
1477,13149,True
1478,13150,True
1479,13151,True
1480,13152,True
1481,13153,True
1482,13154,True
1483,13155,True
1484,13156,True
1485,13157,True
1486,13158,True
1487,13159,True
1488,13160,True
1489,13161,True
1490,13162,True
1491,13163,True
1492,13164,True
1493,13165,True
1494,13166,True
1495,13167,True
1496,13168,True
1497,13169,True
1498,13170,True
1499,13171,True
1500,13172,True
1501,13173,True
1502,13174,True
1503,13175,True
1504,13176,True
1505,13177,True
1506,13178,True
1507,13179,True
1508,13180,True
1509,13181,True
1510,13182,True
1511,13183,True
1512,13184,True
1513,13185,True
1514,13186,True
1515,13187,True
1516,13188,True
1517,13189,True
1518,13190,True
1519,13191,True
1520,13192,True
1521,13193,True
1522,13194,True
1523,13195,True
1524,13196,True
1525,13197,True
1526,13198,True
1527,13199,True
1528,13200,True
1529,13201,True
1530,13202,True
1531,13203,True
1532,13204,True
1533,13205,True
1534,13206,True
1535,13207,True
1536,13208,True
1537,13209,True
1538,13210,True
1539,13211,True
1540,13212,True
1541,13213,True
1542,13214,True
1543,13215,True
1544,13216,True
1545,13217,True
1546,13218,True
1547,13219,True
1548,13220,True
1549,13221,True
1550,13222,True
1551,13223,True
1552,13224,True
1553,13225,True
1554,13226,True
1555,13227,True
1556,13228,True
1557,13229,True
1558,13230,True
1559,13231,True
1560,13232,True
1561,13233,True
1562,13234,True
1563,13235,True
1564,13236,True
1565,13237,True
1566,13238,True
1567,13239,True
1568,13240,True
1569,13241,True
1570,13242,True
1571,13243,True
1572,13244,True
1573,13245,True
1574,13246,True
1575,13247,True
1576,13248,True
1577,13249,True
1578,13250,True
1579,13251,True
1580,13252,True
1581,13253,True
1582,13254,True
1583,13255,True
1584,13256,True
1585,13257,True
1586,13258,True
1587,13259,True
1588,13260,True
1589,13261,True
1590,13262,True
1591,13263,True
1592,13264,True
1593,13265,True
1594,13266,True
1595,13267,True
1596,13268,True
1597,13269,True
1598,13270,True
1599,13271,True
1600,13272,True
1601,13273,True
1602,13274,True
1603,13275,True
1604,13276,True
1605,13277,True
1606,13278,True
1607,13279,True
1608,13280,True
1609,13281,True
1610,13282,True
1611,13283,True
1612,13284,True
1613,13285,True
1614,13286,True
1615,13287,True
1616,13288,True
1617,13289,True
1618,13290,True
1619,13291,True
1620,13292,True
1621,13293,True
1622,13294,True
1623,13295,True
1624,13296,True
1625,13297,True
1626,13298,True
1627,13299,True
1628,13300,True
1629,13301,True
1630,13302,True
1631,13303,True
1632,13304,True
1633,13305,True
1634,13306,True
1635,13307,True
1636,13308,True
1637,13309,True
1638,13310,True
1639,13311,True
1640,13312,True
1641,13313,True
1642,13314,True
1643,13315,True
1644,13316,True
1645,13317,True
1646,13318,True
1647,13319,True
1648,13320,True
1649,13321,True
1650,13322,False
1651,13323,True
1652,13324,True
1653,13325,True
1654,13326,True
1655,13327,True
1656,13328,True
1657,13329,True
1658,13330,True
1659,17135,True
1660,17136,True
1661,17137,False
1662,17138,False
1663,17139,False
1664,17140,False
1665,17141,False
1666,17142,True
1667,17143,True
1668,17144,True
1669,17145,True
1670,17146,True
1671,17147,True
1672,17148,True
1673,17149,True
1674,17150,True
1675,17151,True
1676,17152,True
1677,17153,True
1678,17154,True
1679,17155,True
1680,17156,True
1681,17157,True
1682,17158,True
1683,17159,True
1684,17160,True
1685,17161,True
1686,17162,True
1687,17163,True
1688,17164,True
1689,17165,True
1690,17166,True
1691,17167,True
1692,17168,True
1693,17169,True
1694,17170,True
1695,17171,True
1696,17172,True
1697,17173,True
1698,17174,True
1699,17175,True
1700,17176,True
1701,17177,True
1702,17178,True
1703,17179,True
1704,17180,True
1705,17181,True
1706,17182,True
1707,17183,True
1708,17184,True
1709,17185,True
1710,17186,True
1711,17187,True
1712,17188,True
1713,17189,True
1714,17190,True
1715,17191,True
1716,17192,True
1717,17193,True
1718,17194,True
1719,17195,True
1720,17196,False
1721,17197,False
1722,17198,False
1723,17199,False
1724,17200,False
1725,17201,False
1726,17202,False
1727,17203,False
1728,17204,False
1729,17205,False
1730,17206,False
1731,17207,True
1732,17208,True
1733,17209,True
1734,17210,True
1735,17211,True
1736,17212,True
1737,17213,True
1738,17214,True
1739,17215,True
1740,17216,True
1741,17217,True
1742,17218,True
1743,17219,True
1744,17220,True
1745,17221,True
1746,17222,True
1747,17223,True
1748,17224,True
1749,17225,True
1750,17226,True
1751,17227,True
1752,17228,True
1753,17229,True
1754,17230,True
1755,17231,True
1756,17232,True
1757,17233,True
1758,17234,True
1759,17235,True
1760,17236,True
1761,17237,True
1762,17238,True
1763,17239,True
1764,17240,True
1765,17241,True
1766,17242,True
1767,17243,True
1768,17244,True
1769,17245,True
1770,17246,True
1771,17247,True
1772,17248,True
1773,17249,True
1774,17250,True
1775,17251,True
1776,17252,True
1777,17253,True
1778,17254,True
1779,17255,True
1780,17256,True
1781,17257,True
1782,17258,True
1783,17259,True
1784,17260,True
1785,17261,True
1786,17262,True
1787,17263,True
1788,17264,True
1789,17265,True
1790,17266,True
1791,17267,True
1792,17268,True
1793,17269,True
1794,17270,True
1795,17271,True
1796,17272,True
1797,17273,True
1798,17274,True
1799,17275,True
1800,17276,True
1801,17277,True
1802,17278,True
1803,17279,True
1804,17280,True
1805,17281,True
1806,17282,True
1807,17283,True
1808,17284,True
1809,17285,True
1810,17286,True
1811,17287,True
1812,17288,True
1813,17289,True
1814,17290,True
1815,17291,True
1816,17292,True
1817,17293,True
1818,17294,True
1819,17295,True
1820,17296,True
1821,17297,True
1822,17298,True
1823,17299,True
1824,17300,True
1825,17301,True
1826,17302,True
1827,17303,True
1828,17304,True
1829,17305,True
1830,17306,True
1831,17307,True
1832,17308,True
1833,17309,True
1834,17310,True
1835,17311,True
1836,17312,True
1837,17313,True
1838,17314,True
1839,17315,True
1840,17316,True
1841,17317,True
1842,17318,True
1843,17319,True
1844,17320,False
1845,17321,False
1846,17322,False
1847,17323,False
1848,17324,False
1849,17325,False
1850,17326,False
1851,17327,False
1852,17328,False
1853,17329,False
1854,17330,False
1855,17331,False
1856,17332,False
1857,17333,False
1858,17334,False
1859,17335,False
1860,17336,False
1861,17337,False
1862,17338,False
1863,17339,False
1864,17340,False
1865,17341,True
1866,17342,True
1867,17343,True
1868,17344,True
1869,17345,True
1870,17346,True
